customer_id,customer_name,region_id,age,loyalty_score,email
1,Customer_1,6,18,96,user1@mail.com
2,Customer_2,1,54,70,user2@mail.com
3,Customer_3,4,23,95,user3@mail.com
4,Customer_4,4,56,1,user4@mail.com
5,Customer_5,8,58,51,user5@mail.com
6,Customer_6,10,35,37,user6@mail.com
7,Customer_7,4,33,35,user7@mail.com
8,Customer_8,6,22,49,user8@mail.com
9,Customer_9,3,59,94,user9@mail.com
10,Customer_10,5,60,4,user10@mail.com
11,Customer_11,8,49,99,user11@mail.com
12,Customer_12,7,19,43,user12@mail.com
13,Customer_13,9,19,78,user13@mail.com
14,Customer_14,9,57,22,user14@mail.com
15,Customer_15,2,59,74,user15@mail.com
16,Customer_16,7,53,1,user16@mail.com
17,Customer_17,8,56,11,user17@mail.com
18,Customer_18,8,29,44,user18@mail.com
19,Customer_19,9,64,59,user19@mail.com
20,Customer_20,2,36,24,user20@mail.com
21,Customer_21,6,45,60,user21@mail.com
22,Customer_22,10,18,3,user22@mail.com
23,Customer_23,9,32,99,user23@mail.com
24,Customer_24,10,53,63,user24@mail.com
25,Customer_25,5,30,36,user25@mail.com
26,Customer_26,4,60,95,user26@mail.com
27,Customer_27,1,38,68,user27@mail.com
28,Customer_28,4,29,83,user28@mail.com
29,Customer_29,6,22,47,user29@mail.com
30,Customer_30,1,24,21,user30@mail.com
31,Customer_31,3,22,82,user31@mail.com
32,Customer_32,4,65,51,user32@mail.com
33,Customer_33,9,21,28,user33@mail.com
34,Customer_34,2,30,15,user34@mail.com
35,Customer_35,4,54,42,user35@mail.com
36,Customer_36,4,58,59,user36@mail.com
37,Customer_37,4,32,66,user37@mail.com
38,Customer_38,8,33,37,user38@mail.com
39,Customer_39,1,38,11,user39@mail.com
40,Customer_40,2,53,87,user40@mail.com
41,Customer_41,10,41,44,user41@mail.com
42,Customer_42,10,33,12,user42@mail.com
43,Customer_43,1,31,3,user43@mail.com
44,Customer_44,5,39,52,user44@mail.com
45,Customer_45,8,66,81,user45@mail.com
46,Customer_46,4,67,33,user46@mail.com
47,Customer_47,3,23,55,user47@mail.com
48,Customer_48,8,59,1,user48@mail.com
49,Customer_49,3,53,39,user49@mail.com
50,Customer_50,1,18,20,user50@mail.com
